record;stcrt;x;y;code;url
1;stcrt-2018-74046;124302;485969;E4;https://zoek.officielebekendmakingen.nl/stcrt-2018-74046
2;stcrt-2018-74053;123476;486192;E4;https://zoek.officielebekendmakingen.nl/stcrt-2018-74053
3;stcrt-2018-74038;126301;487557;E4;https://zoek.officielebekendmakingen.nl/stcrt-2018-74038
4;stcrt-2018-73196;120856;483336;E2;https://zoek.officielebekendmakingen.nl/stcrt-2018-73196
5;stcrt-2018-73726;123041;483033;E4;https://zoek.officielebekendmakingen.nl/stcrt-2018-73726
6;stcrt-2018-73563;127769;486166;E4;https://zoek.officielebekendmakingen.nl/stcrt-2018-73563
7;stcrt-2018-73652;123075;485242;E4;https://zoek.officielebekendmakingen.nl/stcrt-2018-73652
8;stcrt-2018-73436;127263;478684;E4;https://zoek.officielebekendmakingen.nl/stcrt-2018-73436
9;stcrt-2018-72745;118538;485563;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-72745
10;stcrt-2018-72746;122005;485197;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-72746
11;stcrt-2018-72748;121471;484345;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-72748
12;stcrt-2018-72752;121055;485280;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-72752
13;stcrt-2018-72747;121324;483954;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-72747
14;stcrt-2018-72749;121552;485041;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-72749
15;stcrt-2018-72751;120731;484976;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-72751
16;stcrt-2018-72753;119043;482166;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-72753
17;stcrt-2018-72755;119905;484219;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-72755
18;stcrt-2018-72754;121455;484341;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-72754
19;stcrt-2018-72759;121355;484111;E9;https://zoek.officielebekendmakingen.nl/stcrt-2018-72759
20;stcrt-2018-72761;115597;485514;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-72761
21;stcrt-2018-72765;116150;487561;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-72765
22;stcrt-2018-72767;116875;484929;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-72767
23;stcrt-2018-72756;122062;485556;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-72756
24;stcrt-2018-72758;118717;484308;E9;https://zoek.officielebekendmakingen.nl/stcrt-2018-72758
25;stcrt-2018-72762;114706;485706;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-72762
26;stcrt-2018-72757;120707;485367;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-72757
